Start,Finish,Steps (count)
31-Dec-2021 23:00,01-Jan-2022 00:00,0.0
01-Jan-2022 00:00,01-Jan-2022 01:00,0.0
01-Jan-2022 01:00,01-Jan-2022 02:00,0.0
01-Jan-2022 02:00,01-Jan-2022 03:00,0.0
01-Jan-2022 03:00,01-Jan-2022 04:00,0.0
01-Jan-2022 04:00,01-Jan-2022 05:00,0.0
01-Jan-2022 05:00,01-Jan-2022 06:00,0.0
01-Jan-2022 06:00,01-Jan-2022 07:00,0.0
01-Jan-2022 07:00,01-Jan-2022 08:00,0.0
01-Jan-2022 08:00,01-Jan-2022 09:00,151.0
01-Jan-2022 09:00,01-Jan-2022 10:00,233.0
01-Jan-2022 10:00,01-Jan-2022 11:00,0.0
01-Jan-2022 11:00,01-Jan-2022 12:00,58.0
01-Jan-2022 12:00,01-Jan-2022 13:00,368.259109257795
01-Jan-2022 13:00,01-Jan-2022 14:00,108.740890742205
01-Jan-2022 14:00,01-Jan-2022 15:00,32.0
01-Jan-2022 15:00,01-Jan-2022 16:00,28.0
01-Jan-2022 16:00,01-Jan-2022 17:00,37.0
01-Jan-2022 17:00,01-Jan-2022 18:00,2622.27906406418
01-Jan-2022 18:00,01-Jan-2022 19:00,6137.72232848271
01-Jan-2022 19:00,01-Jan-2022 20:00,1433.99860745311
01-Jan-2022 20:00,01-Jan-2022 21:00,146.0
01-Jan-2022 21:00,01-Jan-2022 22:00,144.0
01-Jan-2022 22:00,01-Jan-2022 23:00,0.0
01-Jan-2022 23:00,02-Jan-2022 00:00,109.0
02-Jan-2022 00:00,02-Jan-2022 01:00,0.0
02-Jan-2022 01:00,02-Jan-2022 02:00,0.0
02-Jan-2022 02:00,02-Jan-2022 03:00,0.0
02-Jan-2022 03:00,02-Jan-2022 04:00,0.0
02-Jan-2022 04:00,02-Jan-2022 05:00,0.0
02-Jan-2022 05:00,02-Jan-2022 06:00,23.0
02-Jan-2022 06:00,02-Jan-2022 07:00,0.0
02-Jan-2022 07:00,02-Jan-2022 08:00,0.0
02-Jan-2022 08:00,02-Jan-2022 09:00,0.0
02-Jan-2022 09:00,02-Jan-2022 10:00,218.347230381886
02-Jan-2022 10:00,02-Jan-2022 11:00,321.652769618114
02-Jan-2022 11:00,02-Jan-2022 12:00,1970.54094742112
02-Jan-2022 12:00,02-Jan-2022 13:00,3309.45905257888
02-Jan-2022 13:00,02-Jan-2022 14:00,1810.10379399978
02-Jan-2022 14:00,02-Jan-2022 15:00,1510.89620600022
02-Jan-2022 15:00,02-Jan-2022 16:00,109.0
02-Jan-2022 16:00,02-Jan-2022 17:00,65.0
02-Jan-2022 17:00,02-Jan-2022 18:00,589.549105625543
02-Jan-2022 18:00,02-Jan-2022 19:00,74.4508943744569
02-Jan-2022 19:00,02-Jan-2022 20:00,267.0
02-Jan-2022 20:00,02-Jan-2022 21:00,20.0
02-Jan-2022 21:00,02-Jan-2022 22:00,48.0
02-Jan-2022 22:00,02-Jan-2022 23:00,0.0
02-Jan-2022 23:00,03-Jan-2022 00:00,0.0
03-Jan-2022 00:00,03-Jan-2022 01:00,0.0
03-Jan-2022 01:00,03-Jan-2022 02:00,0.0
03-Jan-2022 02:00,03-Jan-2022 03:00,0.0
03-Jan-2022 03:00,03-Jan-2022 04:00,0.0
03-Jan-2022 04:00,03-Jan-2022 05:00,0.0
03-Jan-2022 05:00,03-Jan-2022 06:00,0.0
03-Jan-2022 06:00,03-Jan-2022 07:00,0.0
03-Jan-2022 07:00,03-Jan-2022 08:00,0.0
03-Jan-2022 08:00,03-Jan-2022 09:00,0.0
03-Jan-2022 09:00,03-Jan-2022 10:00,0.0
03-Jan-2022 10:00,03-Jan-2022 11:00,968.0
03-Jan-2022 11:00,03-Jan-2022 12:00,829.0
03-Jan-2022 12:00,03-Jan-2022 13:00,915.0
03-Jan-2022 13:00,03-Jan-2022 14:00,285.0
03-Jan-2022 14:00,03-Jan-2022 15:00,1393.0
03-Jan-2022 15:00,03-Jan-2022 16:00,298.0
03-Jan-2022 16:00,03-Jan-2022 17:00,626.0
03-Jan-2022 17:00,03-Jan-2022 18:00,101.0
03-Jan-2022 18:00,03-Jan-2022 19:00,407.0
03-Jan-2022 19:00,03-Jan-2022 20:00,0.0
03-Jan-2022 20:00,03-Jan-2022 21:00,65.0
03-Jan-2022 21:00,03-Jan-2022 22:00,130.0
03-Jan-2022 22:00,03-Jan-2022 23:00,277.0
03-Jan-2022 23:00,04-Jan-2022 00:00,16.0
04-Jan-2022 00:00,04-Jan-2022 01:00,0.0
04-Jan-2022 01:00,04-Jan-2022 02:00,0.0
04-Jan-2022 02:00,04-Jan-2022 03:00,0.0
04-Jan-2022 03:00,04-Jan-2022 04:00,0.0
04-Jan-2022 04:00,04-Jan-2022 05:00,0.0
04-Jan-2022 05:00,04-Jan-2022 06:00,0.0
