Start,Finish,Steps (count)
01-Jan-2022 00:00,01-Jan-2022 01:00,32.0
01-Jan-2022 01:00,01-Jan-2022 02:00,0.0
01-Jan-2022 02:00,01-Jan-2022 03:00,0.0
01-Jan-2022 03:00,01-Jan-2022 04:00,0.0
01-Jan-2022 04:00,01-Jan-2022 05:00,0.0
01-Jan-2022 05:00,01-Jan-2022 06:00,0.0
01-Jan-2022 06:00,01-Jan-2022 07:00,0.0
01-Jan-2022 07:00,01-Jan-2022 08:00,0.0
01-Jan-2022 08:00,01-Jan-2022 09:00,0.0
01-Jan-2022 09:00,01-Jan-2022 10:00,526.0
01-Jan-2022 10:00,01-Jan-2022 11:00,274.34829442577
01-Jan-2022 11:00,01-Jan-2022 12:00,537.65170557423
01-Jan-2022 12:00,01-Jan-2022 13:00,515.0
01-Jan-2022 13:00,01-Jan-2022 14:00,393.063952602609
01-Jan-2022 14:00,01-Jan-2022 15:00,320.936047397391
01-Jan-2022 15:00,01-Jan-2022 16:00,1770.5506458645
01-Jan-2022 16:00,01-Jan-2022 17:00,1361.4493541355
01-Jan-2022 17:00,01-Jan-2022 18:00,171.0
01-Jan-2022 18:00,01-Jan-2022 19:00,28.0
01-Jan-2022 19:00,01-Jan-2022 20:00,431.0
01-Jan-2022 20:00,01-Jan-2022 21:00,67.9228093592628
01-Jan-2022 21:00,01-Jan-2022 22:00,173.077190640737
01-Jan-2022 22:00,01-Jan-2022 23:00,156.0
01-Jan-2022 23:00,02-Jan-2022 00:00,0.0
02-Jan-2022 00:00,02-Jan-2022 01:00,0.0
02-Jan-2022 01:00,02-Jan-2022 02:00,0.0
02-Jan-2022 02:00,02-Jan-2022 03:00,0.0
02-Jan-2022 03:00,02-Jan-2022 04:00,0.0
02-Jan-2022 04:00,02-Jan-2022 05:00,0.0
02-Jan-2022 05:00,02-Jan-2022 06:00,0.0
02-Jan-2022 06:00,02-Jan-2022 07:00,0.0
02-Jan-2022 07:00,02-Jan-2022 08:00,0.0
02-Jan-2022 08:00,02-Jan-2022 09:00,338.0
02-Jan-2022 09:00,02-Jan-2022 10:00,816.147274401839
02-Jan-2022 10:00,02-Jan-2022 11:00,165.85272559816
02-Jan-2022 11:00,02-Jan-2022 12:00,958.0
02-Jan-2022 12:00,02-Jan-2022 13:00,190.0
02-Jan-2022 13:00,02-Jan-2022 14:00,156.0
02-Jan-2022 14:00,02-Jan-2022 15:00,24.0
02-Jan-2022 15:00,02-Jan-2022 16:00,2962.12217858085
02-Jan-2022 16:00,02-Jan-2022 17:00,486.527150448118
02-Jan-2022 17:00,02-Jan-2022 18:00,597.350670971031
02-Jan-2022 18:00,02-Jan-2022 19:00,349.720068164925
02-Jan-2022 19:00,02-Jan-2022 20:00,410.279931835075
02-Jan-2022 20:00,02-Jan-2022 21:00,184.0
02-Jan-2022 21:00,02-Jan-2022 22:00,209.0
02-Jan-2022 22:00,02-Jan-2022 23:00,135.0
02-Jan-2022 23:00,03-Jan-2022 00:00,53.0
03-Jan-2022 00:00,03-Jan-2022 01:00,0.0
03-Jan-2022 01:00,03-Jan-2022 02:00,0.0
03-Jan-2022 02:00,03-Jan-2022 03:00,0.0
03-Jan-2022 03:00,03-Jan-2022 04:00,0.0
03-Jan-2022 04:00,03-Jan-2022 05:00,0.0
03-Jan-2022 05:00,03-Jan-2022 06:00,0.0
03-Jan-2022 06:00,03-Jan-2022 07:00,0.0
03-Jan-2022 07:00,03-Jan-2022 08:00,3664.64703563897
03-Jan-2022 08:00,03-Jan-2022 09:00,698.352964361031
03-Jan-2022 09:00,03-Jan-2022 10:00,18.0
03-Jan-2022 10:00,03-Jan-2022 11:00,630.0
03-Jan-2022 11:00,03-Jan-2022 12:00,387.0
03-Jan-2022 12:00,03-Jan-2022 13:00,189.028757050526
03-Jan-2022 13:00,03-Jan-2022 14:00,171.516497593106
03-Jan-2022 14:00,03-Jan-2022 15:00,14.4547453563678
03-Jan-2022 15:00,03-Jan-2022 16:00,583.0
03-Jan-2022 16:00,03-Jan-2022 17:00,158.0
03-Jan-2022 17:00,03-Jan-2022 18:00,336.0
03-Jan-2022 18:00,03-Jan-2022 19:00,46.0
03-Jan-2022 19:00,03-Jan-2022 20:00,151.0
03-Jan-2022 20:00,03-Jan-2022 21:00,0.0
03-Jan-2022 21:00,03-Jan-2022 22:00,153.0
03-Jan-2022 22:00,03-Jan-2022 23:00,41.0
03-Jan-2022 23:00,04-Jan-2022 00:00,0.0
04-Jan-2022 00:00,04-Jan-2022 01:00,0.0
04-Jan-2022 01:00,04-Jan-2022 02:00,0.0
04-Jan-2022 02:00,04-Jan-2022 03:00,0.0
