Source,Date,Hour,Count
person5,2022-01-27,08,4
person5,2022-01-02,13,78
person5,2022-01-02,12,66
person5,2022-01-02,12,57
person5,2022-01-02,12,99
person5,2022-01-02,11,46
person5,2022-01-02,11,101
person5,2022-01-02,11,101
person5,2022-01-02,11,58
person5,2022-01-02,10,136
person5,2022-01-02,10,487
person5,2022-01-02,10,33
person5,2022-01-02,09,13
person5,2022-01-02,09,233
person5,2022-01-02,09,50
person5,2022-01-02,09,7
person5,2022-01-02,08,59
person5,2022-01-02,08,67
person5,2022-01-02,08,32
person5,2022-01-02,08,18
person5,2022-01-02,07,134
person5,2022-01-02,07,53
person5,2022-01-02,06,147
person5,2022-01-02,06,61
person5,2022-01-02,06,203
person5,2022-01-02,06,17
person5,2022-01-02,05,201
person5,2022-01-02,05,78
person5,2022-01-02,05,34
person5,2022-01-02,05,70
person5,2022-01-02,04,115
person5,2022-01-02,04,96
person5,2022-01-02,04,116
person5,2022-01-02,04,79
person5,2022-01-02,03,113
person5,2022-01-02,03,1204
person5,2022-01-02,03,1320
person5,2022-01-02,03,1251
person5,2022-01-02,02,140
person5,2022-01-02,02,138
person5,2022-01-02,02,60
person5,2022-01-02,02,57
person5,2022-01-02,01,177
person5,2022-01-02,01,125
person5,2022-01-02,01,73
person5,2022-01-02,01,283
person5,2022-01-02,00,103
person5,2022-01-02,00,172
person5,2022-01-02,00,219
person5,2022-01-02,00,101
person5,2022-01-01,23,48
person5,2022-01-01,23,58
person5,2022-01-01,23,8
person5,2022-01-03,14,15
person5,2022-01-03,13,38
person5,2022-01-03,12,65
person5,2022-01-03,12,34
person5,2022-01-03,12,24
person5,2022-01-03,11,145
person5,2022-01-03,11,52
person5,2022-01-03,11,71
person5,2022-01-03,11,149
person5,2022-01-03,10,33
person5,2022-01-03,10,607
person5,2022-01-03,10,770
person5,2022-01-03,10,57
person5,2022-01-03,09,272
person5,2022-01-03,09,57
person5,2022-01-03,09,232
person5,2022-01-03,09,106
person5,2022-01-03,08,102
person5,2022-01-03,08,105
person5,2022-01-03,08,113
person5,2022-01-03,08,33
person5,2022-01-03,07,70
person5,2022-01-03,07,64
person5,2022-01-03,07,85
person5,2022-01-03,06,62
person5,2022-01-03,06,25
person5,2022-01-03,05,23
person5,2022-01-03,05,47
person5,2022-01-03,04,100
person5,2022-01-03,04,13
person5,2022-01-03,04,80
person5,2022-01-03,04,138
person5,2022-01-03,03,219
person5,2022-01-03,03,17
person5,2022-01-03,03,93
person5,2022-01-03,02,84
person5,2022-01-03,02,69
person5,2022-01-03,02,21
person5,2022-01-03,02,165
person5,2022-01-03,01,44
person5,2022-01-03,01,37
person5,2022-01-03,01,64
person5,2022-01-03,01,196
person5,2022-01-03,00,76
person5,2022-01-03,00,81
person5,2022-01-03,00,12
person5,2022-01-03,00,42
person5,2022-01-04,12,98
person5,2022-01-04,11,158
person5,2022-01-04,11,103
person5,2022-01-04,11,93
person5,2022-01-04,11,172
person5,2022-01-04,10,44
person5,2022-01-04,10,148
person5,2022-01-04,10,1118
person5,2022-01-04,10,709
person5,2022-01-04,09,22
person5,2022-01-04,09,181
person5,2022-01-04,09,573
person5,2022-01-04,08,563
person5,2022-01-04,08,290
person5,2022-01-04,08,427
person5,2022-01-04,08,131
person5,2022-01-04,07,81
person5,2022-01-04,07,154
person5,2022-01-04,07,49
person5,2022-01-04,07,20
person5,2022-01-04,06,128
person5,2022-01-04,05,55
person5,2022-01-04,04,456
person5,2022-01-04,04,432
person5,2022-01-04,04,20
person5,2022-01-04,04,16
person5,2022-01-04,03,192
person5,2022-01-04,03,143
person5,2022-01-04,03,70
person5,2022-01-04,02,119
person5,2022-01-04,02,91
person5,2022-01-04,01,42
person5,2022-01-04,01,143
person5,2022-01-04,00,291
person5,2022-01-04,00,78
person5,2022-01-04,00,35
person5,2022-01-04,00,121
person5,2022-01-03,23,22
person5,2022-01-03,23,75
person5,2022-01-05,14,116
person5,2022-01-05,13,11
person5,2022-01-05,12,52
person5,2022-01-05,12,178
person5,2022-01-05,11,103
person5,2022-01-05,11,141
person5,2022-01-05,11,17
person5,2022-01-05,11,66
person5,2022-01-05,10,70
person5,2022-01-05,10,417
person5,2022-01-05,10,295
person5,2022-01-05,09,114
person5,2022-01-05,09,59
person5,2022-01-05,09,204
person5,2022-01-05,09,372
person5,2022-01-05,08,329
person5,2022-01-05,08,542
person5,2022-01-05,08,690
person5,2022-01-05,08,364
person5,2022-01-05,07,133
person5,2022-01-05,07,100
person5,2022-01-05,07,9
person5,2022-01-05,06,409
person5,2022-01-05,06,19
person5,2022-01-05,05,720
person5,2022-01-05,05,135
person5,2022-01-05,05,108
person5,2022-01-05,05,376
person5,2022-01-05,04,262
person5,2022-01-05,04,16
person5,2022-01-05,04,23
person5,2022-01-05,03,158
person5,2022-01-05,03,78
person5,2022-01-05,03,156
person5,2022-01-05,03,11
person5,2022-01-05,02,107
person5,2022-01-05,02,80
person5,2022-01-05,02,95
person5,2022-01-05,01,66
person5,2022-01-05,01,129
person5,2022-01-05,00,27
person5,2022-01-05,00,55
person5,2022-01-05,00,210
person5,2022-01-04,23,142
person5,2022-01-04,23,236
person5,2022-01-04,23,87
person5,2022-01-06,14,11
person5,2022-01-06,14,187
person5,2022-01-06,13,14
person5,2022-01-06,12,39
person5,2022-01-06,12,40
person5,2022-01-06,12,96
person5,2022-01-06,11,69
person5,2022-01-06,11,82
person5,2022-01-06,11,57
person5,2022-01-06,11,69
person5,2022-01-06,10,89
person5,2022-01-06,10,51
person5,2022-01-06,10,44
person5,2022-01-06,09,147
person5,2022-01-06,09,104
person5,2022-01-06,09,181
person5,2022-01-06,08,401
person5,2022-01-06,08,546
person5,2022-01-06,08,611
person5,2022-01-06,08,385
person5,2022-01-06,07,225
person5,2022-01-06,07,629
person5,2022-01-06,07,798
person5,2022-01-06,07,105
person5,2022-01-06,06,27
person5,2022-01-06,06,289
person5,2022-01-06,06,391
person5,2022-01-06,06,427
person5,2022-01-06,05,60
person5,2022-01-06,05,85
person5,2022-01-06,05,192
person5,2022-01-06,05,218
person5,2022-01-06,04,347
person5,2022-01-06,04,136
person5,2022-01-06,04,51
person5,2022-01-06,04,56
person5,2022-01-06,03,15
person5,2022-01-06,03,85
person5,2022-01-06,03,36
person5,2022-01-06,02,265
person5,2022-01-06,01,126
person5,2022-01-06,01,373
person5,2022-01-06,01,31
person5,2022-01-06,01,120
person5,2022-01-06,00,14
person5,2022-01-06,00,191
person5,2022-01-06,00,89
person5,2022-01-06,00,165
person5,2022-01-05,23,110
person5,2022-01-05,23,11
person5,2022-01-07,08,81
person5,2022-01-07,07,137
person5,2022-01-07,07,174
person5,2022-01-07,07,23
person5,2022-01-07,06,6
person5,2022-01-07,06,134
person5,2022-01-07,06,151
person5,2022-01-07,06,472
person5,2022-01-07,05,187
person5,2022-01-07,04,58
person5,2022-01-07,04,234
person5,2022-01-07,04,11
person5,2022-01-07,03,69
person5,2022-01-07,03,92
person5,2022-01-07,03,33
person5,2022-01-07,01,98
person5,2022-01-07,01,26
person5,2022-01-07,01,252
person5,2022-01-07,01,181
person5,2022-01-07,00,52
person5,2022-01-07,00,49
person5,2022-01-07,00,125
person5,2022-01-07,00,62
person5,2022-01-06,23,41
person5,2022-01-06,23,138
person5,2022-02-01,10,9
person5,2022-02-01,11,1
person5,2022-02-01,23,22
person5,2022-02-02,02,92
person5,2022-01-10,23,7
person5,2022-01-10,23,54
person5,2022-01-10,23,54
person5,2022-01-10,23,20
person5,2022-01-10,22,103
person5,2022-01-10,22,97
person5,2022-01-10,22,12
person5,2022-02-02,02,87
person5,2022-02-02,02,46
person5,2022-02-02,02,46
person5,2022-02-02,04,151
person5,2022-02-02,04,28
person5,2022-02-02,04,26
person5,2022-02-02,04,33
person5,2022-02-02,05,69
person5,2022-02-02,06,497
person5,2022-02-02,06,361
person5,2022-02-02,07,79
person5,2022-02-02,07,138
person5,2022-02-02,07,762
person5,2022-02-02,07,542
person5,2022-02-02,07,415
person5,2022-02-02,08,283
person5,2022-02-02,08,641
person5,2022-02-02,08,123
person5,2022-02-02,08,116
person5,2022-02-02,08,26
person5,2022-02-02,08,157
person5,2022-02-02,09,211
person5,2022-02-02,09,6
person5,2022-02-02,10,96
person5,2022-02-02,12,11
person5,2022-02-02,21,60
person5,2022-02-02,22,175
person5,2022-02-02,22,189
person5,2022-02-02,22,44
person5,2022-02-02,22,25
person5,2022-02-02,23,77
person5,2022-02-02,23,663
person5,2022-02-02,23,223
person5,2022-02-02,23,34
person5,2022-02-03,02,92
person5,2022-02-03,02,8
person5,2022-02-03,03,30
person5,2022-02-03,03,33
person5,2022-02-03,05,26
person5,2022-02-03,06,18
person5,2022-02-03,06,34
person5,2022-02-03,06,543
person5,2022-02-03,06,270
person5,2022-02-03,06,32
person5,2022-02-03,07,41
person5,2022-02-03,07,321
person5,2022-02-03,07,142
person5,2022-02-03,08,239
person5,2022-02-03,08,116
person5,2022-02-03,08,42
person5,2022-02-03,09,12
person5,2022-02-03,09,39
person5,2022-02-03,10,84
person5,2022-02-03,10,66
person5,2022-02-03,10,11
person5,2022-02-03,10,21
person5,2022-02-03,11,41
person5,2022-02-03,13,37
person5,2022-02-03,13,8
person5,2022-02-03,21,46
