person1,2022-01-01,07,32
person1,2022-01-01,07,49
person1,2022-01-01,07,14
person1,2022-01-01,07,20
person1,2022-01-01,07,16
person1,2022-01-01,07,12
person1,2022-01-01,07,8
person1,2022-01-01,10,41
person1,2022-01-01,08,75
person1,2022-01-01,08,76
person1,2022-01-01,08,82
person1,2022-01-01,10,17
person1,2022-01-01,11,29
person1,2022-01-01,11,7
person1,2022-01-01,11,35
person1,2022-01-01,11,35
person1,2022-01-01,11,61
person1,2022-01-01,11,17
person1,2022-01-01,11,31
person1,2022-01-01,11,4
person1,2022-01-01,11,23
person1,2022-01-01,11,63
person1,2022-01-01,11,11
person1,2022-01-01,11,25
person1,2022-01-01,11,6
person1,2022-01-01,11,90
person1,2022-01-01,12,2
person1,2022-01-01,12,9
person1,2022-01-01,12,29
person1,2022-01-01,13,3
person1,2022-01-01,13,20
person1,2022-01-01,13,1
person1,2022-01-01,13,8
person1,2022-01-01,14,1
person1,2022-01-01,14,27
person1,2022-01-01,15,25
person1,2022-01-01,15,12
person1,2022-01-01,16,364
person1,2022-01-01,16,30
person1,2022-01-01,16,142
person1,2022-01-01,16,1098
person1,2022-01-01,16,868
person1,2022-01-01,16,1075
person1,2022-01-01,16,82
person1,2022-01-01,16,54
person1,2022-01-01,16,46
person1,2022-01-01,16,1123
person1,2022-01-01,17,1137
person1,2022-01-01,17,1082
person1,2022-01-01,16,977
person1,2022-01-01,17,113
person1,2022-01-01,17,109
person1,2022-01-01,17,111
person1,2022-01-01,17,119
person1,2022-01-01,17,118
person1,2022-01-01,17,111
person1,2022-01-01,17,111
person1,2022-01-01,17,15
person1,2022-01-01,17,1084
person1,2022-01-01,17,56
person1,2022-01-01,17,947
person1,2022-01-01,17,118
person1,2022-01-01,17,14
person1,2022-01-01,17,1017
person1,2022-01-01,17,1124
person1,2022-01-01,17,853
person1,2022-01-01,17,167
person1,2022-01-01,17,1106
person1,2022-01-01,17,116
person1,2022-01-01,17,118
person1,2022-01-01,17,111
person1,2022-01-01,17,115
person1,2022-01-01,17,117
person1,2022-01-01,17,106
person1,2022-01-01,17,113
person1,2022-01-01,17,785
person1,2022-01-01,17,116
person1,2022-01-01,17,118
person1,2022-01-01,17,109
person1,2022-01-01,17,34
person1,2022-01-01,17,1148
person1,2022-01-01,17,1098
person1,2022-01-01,18,65
person1,2022-01-01,18,185
person1,2022-01-01,18,2
person1,2022-01-01,18,5
person1,2022-01-01,18,2
person1,2022-01-01,18,63
person1,2022-01-01,18,6
person1,2022-01-01,18,11
person1,2022-01-01,18,35
person1,2022-01-01,18,4
person1,2022-01-01,19,18
person1,2022-01-01,19,43
person1,2022-01-01,19,2
person1,2022-01-01,19,42
person1,2022-01-01,19,19
person1,2022-01-01,18,610
person1,2022-01-01,18,42
person1,2022-01-01,19,14
person1,2022-01-01,19,8
person1,2022-01-01,20,22
person1,2022-01-01,20,52
person1,2022-01-01,20,42
person1,2022-01-01,20,4
person1,2022-01-01,20,16
person1,2022-01-01,20,8
person1,2022-01-01,22,2
person1,2022-01-01,22,31
person1,2022-01-01,22,77
person1,2022-01-02,04,23
person1,2022-01-01,22,55
person1,2022-01-01,22,21
person1,2022-01-02,08,242
person1,2022-01-02,08,32
person1,2022-01-02,08,10
person1,2022-01-02,08,28
person1,2022-01-02,08,42
person1,2022-01-02,08,33
person1,2022-01-02,08,50
person1,2022-01-02,08,60
person1,2022-01-02,09,18
person1,2022-01-02,09,63
person1,2022-01-02,09,51
person1,2022-01-02,09,32
person1,2022-01-02,09,42
person1,2022-01-02,09,8
person1,2022-01-02,09,109
person1,2022-01-02,09,66
person1,2022-01-02,10,13
person1,2022-01-02,09,71
person1,2022-01-02,10,4
person1,2022-01-02,10,83
person1,2022-01-02,10,3
person1,2022-01-02,10,21
person1,2022-01-02,10,164
