Start,Finish,Steps (count)
01-Jan-2022 00:00,01-Jan-2022 01:00,0.0
01-Jan-2022 01:00,01-Jan-2022 02:00,0.0
01-Jan-2022 02:00,01-Jan-2022 03:00,0.0
01-Jan-2022 03:00,01-Jan-2022 04:00,0.0
01-Jan-2022 04:00,01-Jan-2022 05:00,0.0
01-Jan-2022 05:00,01-Jan-2022 06:00,0.0
01-Jan-2022 06:00,01-Jan-2022 07:00,0.0
01-Jan-2022 07:00,01-Jan-2022 08:00,107.0
01-Jan-2022 08:00,01-Jan-2022 09:00,293.0
01-Jan-2022 09:00,01-Jan-2022 10:00,511.0
01-Jan-2022 10:00,01-Jan-2022 11:00,321.0
01-Jan-2022 11:00,01-Jan-2022 12:00,113.0
01-Jan-2022 12:00,01-Jan-2022 13:00,674.0
01-Jan-2022 13:00,01-Jan-2022 14:00,217.0
01-Jan-2022 14:00,01-Jan-2022 15:00,365.0
01-Jan-2022 15:00,01-Jan-2022 16:00,689.201177410901
01-Jan-2022 16:00,01-Jan-2022 17:00,840.405333965938
01-Jan-2022 17:00,01-Jan-2022 18:00,1019.13483484176
01-Jan-2022 18:00,01-Jan-2022 19:00,643.258653781402
01-Jan-2022 19:00,01-Jan-2022 20:00,181.0
01-Jan-2022 20:00,01-Jan-2022 21:00,269.0
01-Jan-2022 21:00,01-Jan-2022 22:00,48.0
01-Jan-2022 22:00,01-Jan-2022 23:00,0.0
01-Jan-2022 23:00,02-Jan-2022 00:00,0.0
02-Jan-2022 00:00,02-Jan-2022 01:00,0.0
02-Jan-2022 01:00,02-Jan-2022 02:00,0.0
02-Jan-2022 02:00,02-Jan-2022 03:00,0.0
02-Jan-2022 03:00,02-Jan-2022 04:00,0.0
02-Jan-2022 04:00,02-Jan-2022 05:00,0.0
02-Jan-2022 05:00,02-Jan-2022 06:00,0.0
02-Jan-2022 06:00,02-Jan-2022 07:00,134.0
02-Jan-2022 07:00,02-Jan-2022 08:00,4833.42193658327
02-Jan-2022 08:00,02-Jan-2022 09:00,8009.15060398173
02-Jan-2022 09:00,02-Jan-2022 10:00,469.427459435
02-Jan-2022 10:00,02-Jan-2022 11:00,313.0
02-Jan-2022 11:00,02-Jan-2022 12:00,484.742777402832
02-Jan-2022 12:00,02-Jan-2022 13:00,829.346214156124
02-Jan-2022 13:00,02-Jan-2022 14:00,145.93466289289
02-Jan-2022 14:00,02-Jan-2022 15:00,423.976345548154
02-Jan-2022 15:00,02-Jan-2022 16:00,321.0
02-Jan-2022 16:00,02-Jan-2022 17:00,136.0
02-Jan-2022 17:00,02-Jan-2022 18:00,460.818256290567
02-Jan-2022 18:00,02-Jan-2022 19:00,555.01177064882
02-Jan-2022 19:00,02-Jan-2022 20:00,201.169973060613
02-Jan-2022 20:00,02-Jan-2022 21:00,230.0
02-Jan-2022 21:00,02-Jan-2022 22:00,234.0
02-Jan-2022 22:00,02-Jan-2022 23:00,34.0
02-Jan-2022 23:00,03-Jan-2022 00:00,0.0
03-Jan-2022 00:00,03-Jan-2022 01:00,0.0
03-Jan-2022 01:00,03-Jan-2022 02:00,0.0
03-Jan-2022 02:00,03-Jan-2022 03:00,0.0
